,county,stname,ctyname,tot_pop,tot_male,tot_female,wa_male,wa_female,ba_male,ba_female,ia_male,ia_female,aa_male,aa_female,na_male,na_female,tom_male,tom_female,wac_male,wac_female,bac_male,bac_female,iac_male,iac_female,aac_male,aac_female,nac_male,nac_female,nh_male,nh_female,nhwa_male,nhwa_female,nhba_male,nhba_female,nhia_male,nhia_female,nhaa_male,nhaa_female,nhna_male,nhna_female,nhtom_male,nhtom_female,nhwac_male,nhwac_female,nhbac_male,nhbac_female,nhiac_male,nhiac_female,nhaac_male,nhaac_female,nhnac_male,nhnac_female,h_male,h_female,hwa_male,hwa_female,hba_male,hba_female,hia_male,hia_female,haa_male,haa_female,hna_male,hna_female,htom_male,htom_female,hwac_male,hwac_female,hbac_male,hbac_female,hiac_male,hiac_female,haac_male,haac_female,hnac_male,hnac_female
1,1001,Alabama,Autauga County,54571,26569,28002,21295,22002,4559,5130,119,139,200,284,29,18,367,429,21633,22391,4704,5306,277,314,300,409,42,37,25875,27386,20709,21485,4512,5091,103,115,194,280,13,9,344,406,21026,21853,4647,5258,251,282,291,398,23,27,694,616,586,517,47,39,16,24,6,4,16,9,23,23,607,538,57,48,26,32,9,11,19,10
2,1003,Alabama,Baldwin County,182265,89196,93069,78334,81376,8396,8878,662,677,540,829,72,49,1192,1260,79452,82576,8804,9327,1295,1346,783,1072,127,84,84771,89502,74314,78160,8268,8754,558,592,532,817,47,39,1052,1140,75299,79251,8648,9173,1106,1183,729,1024,82,58,4425,3567,4020,3216,128,124,104,85,8,12,25,10,140,120,4153,3325,156,154,189,163,54,48,45,26
3,1005,Alabama,Barbour County,27457,14576,12881,7463,6524,6808,6133,93,73,59,53,29,18,124,80,7546,6583,6898,6182,162,116,67,57,33,23,13799,12271,6832,6017,6746,6084,31,31,59,53,16,8,115,78,6909,6074,6832,6133,93,72,66,57,19,13,777,610,631,507,62,49,62,42,0,0,13,10,9,2,637,509,66,49,69,44,1,0,14,10
4,1007,Alabama,Bibb County,22915,12301,10614,9055,8494,3079,1981,35,33,13,9,28,5,91,92,9133,8567,3119,2028,84,76,26,30,33,9,12003,10506,8798,8410,3065,1967,35,32,13,9,6,1,86,87,8876,8480,3100,2010,83,73,21,29,10,4,298,108,257,84,14,14,0,1,0,0,22,4,5,5,257,87,19,18,1,3,5,1,23,5
5,1009,Alabama,Blount County,57322,28362,28960,27398,27970,420,397,178,173,45,80,38,25,283,315,27670,28275,493,472,364,376,81,134,45,31,25793,26903,24982,26009,368,363,134,151,44,76,11,7,254,297,25228,26297,433,434,298,341,79,128,17,13,2569,2057,2416,1961,52,34,44,22,1,4,27,18,29,18,2442,1978,60,38,66,35,2,6,28,18
6,1011,Alabama,Bullock County,10914,5912,5002,1761,1107,3999,3760,37,50,10,10,46,36,59,39,1806,1135,4031,3782,62,76,26,15,47,37,5473,4664,1499,894,3924,3720,5,15,10,10,2,2,33,23,1525,913,3941,3728,22,33,15,13,3,3,439,338,262,213,75,40,32,35,0,0,44,34,26,16,281,222,90,54,40,43,11,2,44,34
7,1013,Alabama,Butler County,20947,9838,11109,5498,5944,4141,4969,27,36,96,86,3,5,73,69,5561,6004,4184,5007,54,65,109,97,6,7,9732,11024,5437,5892,4109,4943,26,34,90,84,2,5,68,66,5497,5949,4147,4980,51,60,100,95,5,7,106,85,61,52,32,26,1,2,6,2,1,0,5,3,64,55,37,27,3,5,9,2,1,0
8,1015,Alabama,Calhoun County,118572,57176,61396,44186,46430,11367,13180,321,270,365,519,60,53,877,944,44974,47284,11803,13667,655,628,550,714,118,122,55054,59625,42412,44969,11198,13034,257,226,340,499,50,45,797,852,43134,45741,11594,13475,566,554,499,659,101,104,2122,1771,1774,1461,169,146,64,44,25,20,10,8,80,92,1840,1543,209,192,89,74,51,55,17,18
9,1017,Alabama,Chambers County,34215,16363,17852,9940,10356,6125,7200,33,38,92,90,10,5,163,163,10090,10506,6212,7309,91,98,122,102,14,8,16032,17647,9714,10199,6055,7167,24,33,77,90,3,4,159,154,9861,10343,6141,7270,81,87,105,101,6,6,331,205,226,157,70,33,9,5,15,0,7,1,4,9,229,163,71,39,10,11,17,1,8,2
10,1019,Alabama,Cherokee County,25989,12888,13101,11982,12249,618,592,81,55,20,35,4,2,183,168,12158,12415,677,644,199,161,29,48,13,7,12731,12938,11844,12103,617,591,72,50,20,30,1,0,177,164,12014,12265,674,642,186,155,29,40,10,5,157,163,138,146,1,1,9,5,0,5,3,2,6,4,144,150,3,2,13,6,0,8,3,2
11,1021,Alabama,Chilton County,43643,21608,22035,19020,19436,2143,2192,112,98,63,83,59,26,211,200,19218,19627,2252,2294,202,184,93,107,66,32,19632,20591,17279,18149,2051,2123,71,67,52,73,5,6,174,173,17440,18314,2140,2207,144,139,78,95,9,11,1976,1444,1741,1287,92,69,41,31,11,10,54,20,37,27,1778,1313,112,87,58,45,15,12,57,21
12,1023,Alabama,Choctaw County,13859,6688,7171,3808,3949,2834,3179,11,7,5,7,0,0,30,29,3831,3972,2854,3198,21,17,13,14,1,1,6648,7138,3778,3929,2824,3167,11,7,5,7,0,0,30,28,3801,3951,2844,3186,21,16,13,14,1,1,40,33,30,20,10,12,0,0,0,0,0,0,0,1,30,21,10,12,0,1,0,0,0,0
13,1025,Alabama,Clarke County,25833,12214,13619,6889,7234,5168,6201,44,59,34,45,4,0,75,80,6953,7299,5215,6251,77,103,43,57,7,6,12074,13488,6791,7159,5132,6159,41,55,32,43,4,0,74,72,6854,7217,5178,6203,74,96,40,50,6,2,140,131,98,75,36,42,3,4,2,2,0,0,1,8,99,82,37,48,3,7,3,7,1,4
14,1027,Alabama,Clay County,13932,6833,7099,5678,5888,1014,1059,24,31,12,13,0,0,105,108,5777,5989,1067,1111,81,91,14,18,2,2,6591,6942,5458,5736,995,1054,24,31,10,13,0,0,104,108,5556,5837,1048,1106,80,91,12,18,2,2,242,157,220,152,19,5,0,0,2,0,0,0,1,0,221,152,19,5,1,0,2,0,0,0
15,1029,Alabama,Cleburne County,14972,7453,7519,7101,7141,238,261,26,26,6,17,10,1,72,73,7170,7212,265,295,60,59,21,27,11,2,7256,7409,6920,7040,236,258,24,26,6,17,1,0,69,68,6986,7106,263,292,57,55,19,26,2,1,197,110,181,101,2,3,2,0,0,0,9,1,3,5,184,106,2,3,3,4,2,1,9,1
