"","STATE","ENROLL","NAME","YRDATA","TOTALREV","TFEDREV","TSTREV","TLOCREV","TOTALEXP"
"1","Alabama",9609,"AUTAUGA COUNTY SCHOOL DISTRICT",2016,80867,7447,53842,19578,76672
"2","Alabama",30931,"BALDWIN COUNTY SCHOOL DISTRICT",2016,338236,23710,145180,169346,299880
"3","Alabama",912,"BARBOUR COUNTY SCHOOL DISTRICT",2016,10116,2342,5434,2340,10070
"4","Alabama",2842,"EUFAULA CITY SCHOOL DISTRICT",2016,26182,3558,15900,6724,29843
"5","Alabama",3322,"BIBB COUNTY SCHOOL DISTRICT",2016,32486,3664,21846,6976,31662
"6","Alabama",7870,"BLOUNT COUNTY SCHOOL DISTRICT",2016,69966,6929,48563,14474,68297
"7","Alabama",1477,"ONEONTA CITY SCHOOL DISTRICT",2016,13464,992,8541,3931,12726
"8","Alabama",1505,"BULLOCK COUNTY SCHOOL DISTRICT",2016,14876,3061,9273,2542,14713
"9","Alabama",3135,"BUTLER COUNTY SCHOOL DISTRICT",2016,32062,6439,18770,6853,31393
"10","Alabama",2099,"ANNISTON CITY SCHOOL DISTRICT",2016,23776,4344,11810,7622,24320
"11","Alabama",9054,"CALHOUN COUNTY SCHOOL DISTRICT",2016,86559,8361,54887,23311,93475
"12","Alabama",1544,"JACKSONVILLE CITY SCHOOL DISTRICT",2016,14925,1563,8599,4763,22806
"13","Alabama",1247,"PIEDMONT CITY SCHOOL DISTRICT",2016,11695,1507,7287,2901,11355
"14","Alabama",4171,"OXFORD CITY SCHOOL DISTRICT",2016,43617,3494,23131,16992,41504
"15","Alabama",3729,"CHAMBERS COUNTY SCHOOL DISTRICT",2016,35550,5072,21545,8933,35428
"16","Alabama",863,"LANETT CITY SCHOOL DISTRICT",2016,9413,1648,5717,2048,9419
"17","Alabama",4042,"CHEROKEE COUNTY SCHOOL DISTRICT",2016,40647,4419,24019,12209,41646
"18","Alabama",7743,"CHILTON COUNTY SCHOOL DISTRICT",2016,66020,7864,43959,14197,66004
"19","Alabama",1495,"CHOCTAW COUNTY SCHOOL DISTRICT",2016,17426,2531,8525,6370,15660
"20","Alabama",2717,"CLARKE COUNTY SCHOOL DISTRICT",2016,28164,4509,16842,6813,28934
"21","Alabama",1339,"THOMASVILLE CITY SCHOOL DISTRICT",2016,13572,1334,8364,3874,15018
"22","Alabama",1978,"CLAY COUNTY SCHOOL DISTRICT",2016,18425,2182,12797,3446,17663
"23","Alabama",2631,"CLEBURNE COUNTY SCHOOL DISTRICT",2016,25205,2707,17402,5096,25478
"24","Alabama",2081,"COFFEE COUNTY SCHOOL DISTRICT",2016,20354,2611,12825,4918,20509
"25","Alabama",615,"ELBA CITY SCHOOL DISTRICT",2016,7152,993,4367,1792,7238
"26","Alabama",6823,"ENTERPRISE CITY SCHOOL DISTRICT",2016,61888,6348,38269,17271,65966
"27","Alabama",2638,"COLBERT COUNTY SCHOOL DISTRICT",2016,31196,3250,15582,12364,30748
"28","Alabama",1059,"SHEFFIELD CITY SCHOOL DISTRICT",2016,13779,2114,7041,4624,13310
"29","Alabama",1527,"TUSCUMBIA CITY SCHOOL DISTRICT",2016,15100,1307,8686,5107,16985
"30","Alabama",2907,"MUSCLE SHOALS CITY SCHOOL DISTRICT",2016,29431,1589,15851,11991,28870
"31","Alabama",1525,"CONECUH COUNTY SCHOOL DISTRICT",2016,21921,2967,9542,9412,19915
"32","Alabama",1003,"COOSA COUNTY SCHOOL DISTRICT",2016,10642,1554,5986,3102,10517
"33","Alabama",1745,"ANDALUSIA CITY SCHOOL DISTRICT",2016,18650,2360,9571,6719,15978
"34","Alabama",3178,"COVINGTON COUNTY SCHOOL DISTRICT",2016,31073,3635,19108,8330,29870
"35","Alabama",1357,"OPP CITY SCHOOL DISTRICT",2016,13595,1586,8108,3901,13643
"36","Alabama",2239,"CRENSHAW COUNTY SCHOOL DISTRICT",2016,21294,2690,13343,5261,21222
"37","Alabama",3130,"CULLMAN CITY SCHOOL DISTRICT",2016,30963,2857,15071,13035,30044
"38","Alabama",9573,"CULLMAN COUNTY SCHOOL DISTRICT",2016,94578,8181,58949,27448,93836
"39","Alabama",3079,"DALE COUNTY SCHOOL DISTRICT",2016,29011,2786,18692,7533,27492
"40","Alabama",2131,"OZARK CITY SCHOOL DISTRICT",2016,23012,2548,14093,6371,23479
"41","Alabama",1078,"DALEVILLE CITY SCHOOL DISTRICT",2016,10999,1804,6770,2425,10652
"42","Alabama",3243,"DALLAS COUNTY SCHOOL DISTRICT",2016,36746,7636,22598,6512,35428
"43","Alabama",3798,"SELMA CITY SCHOOL DISTRICT",2016,35241,6753,21192,7296,39712
