"STATE","ENROLL","NAME","YRDATA","TOTALREV","TFEDREV","TSTREV","TLOCREV","TOTALEXP","TCURINST","TCURSSVC","TCURONON","TCAPOUT"
"New York",33345,"BUFFALO CITY SCH DIST",2016,995056,127470,745823,121763,936622,542901,235779,42594,19668
"New York",28886,"ROCHESTER CITY SCH DIST",2016,815738,81949,607089,126700,861186,451563,261654,37054,70826
"New York",981667,"NEW YORK CITY SCHOOL DISTRICT",2016,27448356,1739101,10568010,15141245,29620098,20766449,4786795,707408,2601694
"New York",20934,"SYRACUSE CITY SCH DIST",2016,458866,59438,328991,70437,465337,295434,124890,24531,4649
"New York",26728,"YONKERS CITY SCH DIST",2016,610386,43539,346918,219929,602650,395210,153293,12749,22174
"New York",793,"BERNE KNOX-WESTERLO CENTRAL SCH DIST",2016,21764,646,10818,10300,20846,11490,7362,379,374
"New York",4622,"BETHLEHEM CENTRAL SCH",2016,100592,1652,33256,65684,92677,50664,29173,1473,7084
"New York",1878,"RAVENA COEYMANS SELKIRK CENTRAL SCH DIST",2016,45007,1486,18986,24535,44032,26559,12808,766,3192
"New York",1870,"COHOES CITY SCH DIST",2016,41815,2896,23508,15411,39111,23962,11565,1657,544
"New York",4879,"SOUTH COLONIE CENTRAL SCH DIST",2016,101630,3379,31735,66516,95203,64398,24208,2907,1853
"New York",5513,"NORTH COLONIE CENTRAL SCHOOL DISTRICT",2016,106934,2743,26029,78162,102797,61185,31992,2646,5094
"New York",262,"MENANDS UNION FREE SCH DIST",2016,7807,172,1467,6168,7454,3268,2337,113,31
"New York",339,"GREEN ISLAND UNION FREE SCH DIST",2016,7145,306,3428,3411,6694,3811,2256,10,67
"New York",4906,"GUILDERLAND CENTRAL SCHOOL DISTRICT",2016,99344,2119,30496,66729,99692,57803,27025,1326,11758
"New York",1173,"VOORHEESVILLE CENTRAL SCH",2016,23823,474,7466,15883,22286,14050,6471,551,483
"New York",1293,"WATERVLIET CITY SCH DIST",2016,28153,1814,19487,6852,26597,16114,6670,955,457
"New York",9055,"ALBANY CITY SCHOOL DIST",2016,253662,16928,106616,130118,238131,153149,60679,5736,6089
"New York",645,"ALFRED-ALMOND CENTRAL SCH DIST 1",2016,12902,554,7949,4399,11926,7232,3304,325,442
"New York",344,"ANDOVER CENTRAL SCH DIST",2016,8952,501,6085,2366,7662,4081,2667,355,156
"New York",559,"ANGELICA-BELMONT CENTRAL SCHOOL DISTRICT",2016,15477,815,11860,2802,14611,7223,4432,587,271
"New York",365,"BELFAST CENTRAL SCH DIST",2016,9896,720,7572,1604,9015,4708,2593,317,432
"New York",819,"BOLIVAR-RICHBURG CENTRAL SCHOOL DISTRICT",2016,19396,828,15655,2913,17006,9602,5038,513,1019
"New York",270,"CANASERAGA CENTRAL SCH DIST",2016,7143,346,4980,1817,6191,3479,2084,148,146
"New York",864,"CUBA-RUSHFORD SCHOOL DISTRICT",2016,21125,955,14512,5658,18930,10409,7044,423,801
"New York",384,"FRIENDSHIP CENTRAL SCH DIST",2016,10226,902,7842,1482,9306,5562,2502,241,152
"New York",666,"FILLMORE CENTRAL SCH DIST",2016,14788,736,11590,2462,16118,8284,3926,274,3034
"New York",253,"WHITESVILLE CENTRAL SCH DIST",2016,6631,277,4998,1356,5783,3155,1811,189,101
"New York",355,"SCIO CENTRAL SCH DIST 1",2016,9975,465,7720,1790,11150,5419,3303,293,1739
"New York",1323,"WELLSVILLE CTL SCH DIST",2016,29285,1564,20816,6905,25870,14444,7926,872,502
"New York",1585,"CHENANGO FORKS CENTRAL SCH DIST",2016,33028,1051,20612,11365,34481,18283,9903,681,4720
"New York",5786,"BINGHAMTON CITY SCH DIST",2016,144295,33546,70879,39870,137501,72859,29497,6885,23235
