"STATE","ENROLL","TOTALREV","TFEDREV","TSTREV","TLOCREV","TOTALEXP","tot_pop","tot_male","tot_female","wa_male","wa_female","ba_male","ba_female","ia_male","ia_female","aa_male","aa_female","na_male","na_female","tom_male","tom_female","wac_male","wac_female","bac_male","bac_female","iac_male","iac_female","aac_male","aac_female","nac_male","nac_female","nh_male","nh_female","nhwa_male","nhwa_female","nhba_male","nhba_female","nhia_male","nhia_female","nhaa_male","nhaa_female","nhna_male","nhna_female","nhtom_male","nhtom_female","nhwac_male","nhwac_female","nhbac_male","nhbac_female","nhiac_male","nhiac_female","nhaac_male","nhaac_female","nhnac_male","nhnac_female","h_male","h_female","hwa_male","hwa_female","hba_male","hba_female","hia_male","hia_female","haa_male","haa_female","hna_male","hna_female","htom_male","htom_female","hwac_male","hwac_female","hbac_male","hbac_female","hiac_male","hiac_female","haac_male","haac_female","hnac_male","hnac_female","funding_level","male_female_ratio"
"Alabama",734652,7498567,797631,4097696,2603240,7708845,4779736,2320188,2459548,1655851,1707026,586864,672360,16793,16110,26241,28999,2969,2239,31470,32814,1684160,1736133,600925,687610,31560,31369,32656,35701,4272,3712,2216405,2377729,1569042,1638923,579967,666284,12810,13229,25296,28279,1053,970,28237,30044,1594601,1665711,592564,680198,25858,27093,31076,34372,2013,2114,103783,81819,86809,68103,6897,6076,3983,2881,945,720,1916,1269,3233,2770,89559,70422,8361,7412,5702,4276,1580,1329,2259,1598,"High",0.943339182646568
"Alaska",132477,2494691,307320,1613675,573696,2623014,710231,369628,340603,255585,228288,13469,10972,53728,52540,18257,20625,3910,3752,24679,24426,277574,250135,18354,15813,70550,69212,24350,26593,5780,5580,349500,321482,241529,214865,12346,9811,51865,50882,17633,20114,3730,3543,22397,22267,261493,234832,16518,13946,67234,66253,23134,25502,5391,5148,20128,19121,14056,13423,1123,1161,1863,1658,624,511,180,209,2282,2159,16081,15303,1836,1867,3316,2959,1216,1091,389,432,"High",1.08521651306653
"Arizona",938274,8499226,1160208,3438946,3900072,7984108,6392017,3175823,3216194,2691009,2727474,146394,134511,165721,169557,88100,100356,8689,7423,75910,76873,2758764,2796105,174890,163739,194898,199298,114953,127036,14752,13679,2224033,2272835,1831287,1873751,126699,114247,125747,132437,80142,92261,6197,4957,53961,55182,1879261,1922943,148039,136231,143457,150968,100772,112707,10630,9640,951790,943359,859722,853723,19695,20264,39974,37120,7958,8095,2492,2466,21949,21691,879503,873162,26851,27508,51441,48330,14181,14329,4122,4039,"High",0.987447585562314
"Arkansas",479177,5292895,566962,4070349,655584,5312791,2915918,1431637,1484281,1157248,1185155,215891,238130,13116,13018,17731,19806,3508,3177,24143,24995,1179780,1208339,224841,247577,26027,26436,21929,24130,4454,4143,1332384,1397484,1068254,1107462,212691,235172,9959,10335,16958,19128,2890,2750,21632,22637,1088487,1128492,220825,243884,21336,22258,20675,23008,3628,3528,99253,86797,88994,77693,3200,2958,3157,2683,773,678,618,427,2511,2358,91293,79847,4016,3693,4691,4178,1254,1122,826,615,"High",0.9645323223837
"California",6217031,88890363,7653281,50844163,30392919,84993059,37253956,18517830,18736126,13858068,13778335,1226693,1259856,317121,304986,2389901,2648222,90258,91173,635789,653554,14413687,14347227,1405668,1450587,514131,512610,2722965,2984105,158104,161932,11437702,11802535,7482396,7546255,1080681,1106399,81467,82967,2280348,2536484,65791,66894,447019,463536,7869742,7946198,1208500,1243951,186663,199074,2541793,2800140,115483,119285,7080128,6933591,6375672,6232080,146012,153457,235654,222019,109553,111738,24467,24279,188770,190018,6543945,6401029,197168,206636,327468,313536,181172,183965,42621,42647,"Medium",0.988348925492922
"Colorado",880678,10019370,687213,4338044,4994113,9775665,5029196,2520662,2508534,2232054,2218569,113001,101918,39898,38246,66087,78732,4263,4157,65359,66912,2291820,2279839,136066,125434,66630,66180,88871,101867,8431,8392,1990863,1999646,1761164,1768213,100893,89379,16068,15536,62134,74753,2917,2832,47687,48933,1804785,1813010,118586,107543,31904,32257,81084,93984,6044,6018,529799,508888,470890,450356,12108,12539,23830,22710,3953,3979,1346,1325,17672,17979,487035,466829,17480,17891,34726,33923,7787,7883,2387,2374,"Medium",1.00483469628078
"Connecticut",499494,10931863,446689,4151617,6333557,10658449,3574097,1739614,1834483,1439961,1510859,186774,205357,8484,8250,68115,72401,1899,1592,34381,36024,1470065,1542113,206687,227168,18587,19207,78051,82239,3612,3252,1500218,1594792,1242288,1314705,161820,177834,3525,3589,66232,70597,572,618,25781,27449,1264783,1338334,175616,193313,10803,11613,74909,79371,1742,1859,239396,239691,197673,196154,24954,27523,4959,4661,1883,1804,1327,974,8600,8575,205282,203779,31071,33855,7784,7594,3142,2868,1870,1393,"Low",0.948285702293235
"Delaware",121225,2043577,134412,1172219,736946,2041952,897934,434939,462995,315284,330486,92750,103531,3048,2881,14136,15206,343,347,9378,10544,323276,339297,99002,110667,5705,6054,16396,17678,672,751,397013,427700,284866,303057,88570,98921,1421,1442,13869,14958,120,140,8167,9182,291838,310728,93988,105097,3607,4100,15924,17220,388,471,37926,35295,30418,27429,4180,4610,1627,1439,267,248,223,207,1211,1362,31438,28569,5014,5570,2098,1954,472,458,284,280,"Low",0.939403233296256
"District of Columbia",48336,1329719,154922,0,1174797,1322563,601723,284222,317501,125404,125861,141181,169198,1668,1596,9124,12581,409,361,6436,7904,130303,131836,145042,174135,3832,4252,11643,15726,775,739,255964,291010,104155,106234,137017,165034,634,708,8846,12305,105,115,5207,6614,108024,111132,140093,169134,2203,2744,11109,15138,394,429,28258,26491,21249,19627,4164,4164,1034,888,278,276,304,246,1229,1290,22279,20704,4949,5001,1629,1508,534,588,381,310,"High",0.895184582095804
"Florida",2776933,28125598,3147329,10963807,14014462,27945116,18801310,9189355,9611955,7270935,7537932,1480596,1597471,46735,42384,219481,254718,9624,9166,161984,170284,7409784,7682766,1568667,1691531,90982,89491,272558,310813,21638,21778,7102497,7475007,5355191,5570337,1379037,1494510,24049,23942,210772,245786,5555,5556,127893,134876,5463054,5683030,1445567,1565780,58277,60830,256179,293863,15475,16100,2086858,2136948,1915744,1967595,101559,102961,22686,18442,8709,8932,4069,3610,34091,35408,1946730,1999736,123100,125751,32705,28661,16379,16950,6163,5678,"High",0.956033918177936
"Georgia",1727085,19317170,1789366,8730181,8797623,19071179,9687653,4729171,4958482,3057622,3087309,1402983,1590944,25938,22661,156715,166744,5620,4834,80293,85990,3125931,3159039,1448861,1642825,52136,51018,179833,191017,9526,9061,4268721,4565243,2667772,2759361,1366504,1554732,10635,10968,153114,163571,2843,2607,67853,74004,2725358,2820817,1405395,1599501,31108,34041,173820,185345,5912,6087,460450,393239,389850,327948,36479,36212,15303,11693,3601,3173,2777,2227,12440,11986,400573,338222,43466,43324,21028,16977,6013,5672,3614,2974,"Medium",0.953753789970398
"Hawaii",181995,3030519,261131,2710361,59027,2733094,1360301,681243,679058,187888,161163,13785,8688,2649,2311,248581,283052,70357,67935,157983,155909,301913,274125,22907,16917,17660,17263,375996,409492,180783,178168,620159,619300,167804,142952,12514,7561,1505,1349,240903,275032,65757,63476,131676,128930,262241,235928,19782,13902,11615,11310,347048,379570,157193,154311,61084,59758,20084,18211,1271,1127,1144,962,7678,8020,4600,4459,26307,26979,39672,38197,3125,3015,6045,5953,28948,29922,23590,23857,"Medium",1.00321769274495
